1124,"Carbonic anhydrase VII inhibitor",INHIBITOR
675068,"Carbonic anhydrase I inhibitor",INHIBITOR
674765,"Carbonic anhydrase I inhibitor",INHIBITOR
1085,"Carbonic anhydrase I inhibitor",INHIBITOR
1125,"Carbonic anhydrase I inhibitor",INHIBITOR
1124,"Carbonic anhydrase I inhibitor",INHIBITOR
378315,"Cytochrome b inhibitor",INHIBITOR
674722,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
1102940,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
230999,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
674857,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
554127,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
1049461,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
674831,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
674430,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
594843,"Muscarinic acetylcholine receptor M3 agonist",AGONIST
453573,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
1418097,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
445395,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
674555,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
674754,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
674886,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
562404,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
674715,"Muscarinic acetylcholine receptor M3 agonist",AGONIST
1927030,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
675716,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
674424,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
195974,"Muscarinic acetylcholine receptor M3 agonist",AGONIST
892,"Muscarinic acetylcholine receptor M3 agonist",AGONIST
14406,"Muscarinic acetylcholine receptor M3 agonist",AGONIST
674281,"Muscarinic acetylcholine receptor M3 agonist",AGONIST
1449190,"Muscarinic acetylcholine receptor M3 agonist",AGONIST
674901,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
1406675,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
778083,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
229058,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
170395,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
674842,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
674978,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
674298,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
1594639,"Muscarinic acetylcholine receptor M3 antagonist",ANTAGONIST
2197385,"DNA topoisomerase I inhibitor",INHIBITOR
675418,"Vascular endothelial growth factor A antagonist",ANTAGONIST
675776,"Vascular endothelial growth factor A inhibitor",INHIBITOR
1121853,"Vascular endothelial growth factor A inhibitor",INHIBITOR
675483,"Vascular endothelial growth factor A inhibitor",INHIBITOR
2224030,"Glucagon-like peptide 1 receptor agonist",AGONIST
390990,"Glucagon-like peptide 1 receptor agonist",AGONIST
674777,"Inositol-1(or 4)-monophosphatase 1 inhibitor",INHIBITOR
1376008,"Inositol-1(or 4)-monophosphatase 1 inhibitor",INHIBITOR
675409,"Vasopressin V2 receptor agonist",AGONIST
227437,"Vasopressin V2 receptor antagonist",ANTAGONIST
675059,"Vasopressin V2 receptor antagonist",ANTAGONIST
2832031,"Somatostatin receptor 5 agonist",AGONIST
675135,"Somatostatin receptor 5 agonist",AGONIST
500007,"Parathyroid hormone receptor agonist",AGONIST
675370,"Parathyroid hormone receptor agonist",AGONIST
293438,"Gastric lipase inhibitor",INHIBITOR
21523,"Cysteinyl leukotriene receptor 1 antagonist",ANTAGONIST
674632,"Cysteinyl leukotriene receptor 1 antagonist",ANTAGONIST
675525,"Thrombin inhibitor",INHIBITOR
2831999,"Thrombin inhibitor",INHIBITOR
675435,"Thrombin inhibitor",INHIBITOR
1038352,"Thrombin inhibitor",INHIBITOR
188815,"Thrombin inhibitor",INHIBITOR
1381057,"Tissue-type plasminogen activator exogenous protein","EXOGENOUS PROTEIN"
1380413,"Plasminogen activator",ACTIVATOR
1380151,"Tissue-type plasminogen activator exogenous protein","EXOGENOUS PROTEIN"
675518,"Urokinase-type plasminogen activator exogenous protein","EXOGENOUS PROTEIN"
675554,"Plasminogen inhibitor",INHIBITOR
675431,"Tissue-type plasminogen activator exogenous protein","EXOGENOUS PROTEIN"
73547,"Plasminogen inhibitor",INHIBITOR
127755,"Plasminogen inhibitor",INHIBITOR
366278,"Carbonic anhydrase II inhibitor",INHIBITOR
675113,"Carbonic anhydrase II inhibitor",INHIBITOR
1085,"Carbonic anhydrase II inhibitor",INHIBITOR
1124,"Carbonic anhydrase II inhibitor",INHIBITOR
366279,"Carbonic anhydrase II inhibitor",INHIBITOR
1125,"Carbonic anhydrase II inhibitor",INHIBITOR
674765,"Carbonic anhydrase II inhibitor",INHIBITOR
2832031,"Somatostatin receptor 2 agonist",AGONIST
675135,"Somatostatin receptor 2 agonist",AGONIST
674954,"Serotonin 1f (5-HT1f) receptor agonist",AGONIST
674472,"Serotonin 1f (5-HT1f) receptor agonist",AGONIST
674596,"DNA topoisomerase II alpha inhibitor",INHIBITOR
674426,"DNA topoisomerase II alpha inhibitor",INHIBITOR
446279,"DNA topoisomerase II alpha inhibitor",INHIBITOR
